organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Pyricularia oryzae KJ201	1271791	PRJNA179498	179498	Fungi	Ascomycetes	45.0965	50.7	GCA_000376685.2	NA	ANSL02	123	NA	NA	2013-04-22	2014-04-21	Scaffold	Seoul National University	SAMN02730190
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.87233	44.6	GCA_900008175.2	NA	CZTB02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660233
Fusarium oxysporum f. sp. cucumerinum	5508	PRJNA306247	306247	Fungi	Ascomycetes	57.4359	47.2	GCA_001702545.1	NA	MABM01	3866	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348759
Fusarium oxysporum f. sp. melonis	61369	PRJNA306247	306247	Fungi	Ascomycetes	51.8972	47.6	GCA_001703335.1	NA	MAME01	2256	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348774
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	3.0065	43.7	GCA_900008975.2	NA	CZTV02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660281
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	39.9044	50.1	GCA_002925145.1	NA	PJYN01	3580	NA	NA	2018-02-08	2018-02-08	Scaffold	International Wheat Blast Consortium	SAMN08009556
Saccharomyces cerevisiae	4932	PRJNA312691	312691	Fungi	Ascomycetes	12.0719	38.3205	GCA_001592655.1	chromosome I:CP014732.1; chromosome II:CP014733.1; chromosome III:CP014734.1; chromosome IV:CP014735.1; chromosome V:CP014736.1; chromosome VI:CP014737.1; chromosome VII:CP014738.1; chromosome VIII:CP014739.1; chromosome IX:CP014740.1; chromosome X:CP014725.1; chromosome XI:CP014726.1; chromosome XII:CP014727.1; chromosome XIII:CP014728.1; chromosome XIV:CP014729.1; chromosome XV:CP014730.1; chromosome XVI:CP014731.1; mitochondrion MT:CP014741.1	NA	17	NA	NA	2016-03-15	2016-03-15	Chromosome	Shandong University	SAMN04505234
Saccharomyces cerevisiae	4932	PRJNA284829	284829	Fungi	Ascomycetes	12.1509	38.5859	GCA_001029075.1	chromosome I:CP011810.1; chromosome II:CP011811.1; chromosome III:CP011812.1; chromosome IV:CP011813.1; chromosome V:CP011814.1; chromosome VI:CP011815.1; chromosome VII:CP011816.1; chromosome VIII:CP011817.1; chromosome IX:CP011818.1; chromosome X:CP011819.1; chromosome XI:CP011820.1; chromosome XII:CP011821.1; chromosome XIII:CP011822.1; chromosome XIV:CP011823.1; chromosome XV:CP011824.1; chromosome XVI:CP011825.1; mitochondrion MT:CP011826.1	NA	17	NA	NA	2015-06-17	2015-08-05	Chromosome	OSMANIA UNIVERSITY	SAMN03733457
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	43.2888	48.9	GCA_002924865.1	NA	PJXZ01	2757	NA	NA	2018-02-08	2018-02-08	Scaffold	International Wheat Blast Consortium	SAMN08009570
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	1387.18	43.4	GCA_003711455.1	NA	QVRK01	17407	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN09651199
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	47.9669	48.1	GCA_009298655.1	NA	WGRF01	2063	NA	NA	2019-10-25	2019-10-25	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869179
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	50.0613	48	GCA_001702945.1	NA	MALJ01	2589	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348788
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.77284	44.6	GCA_900009325.2	NA	CZSM02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660232
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	37.3561	51.1	GCA_002925095.1	NA	PJYM01	3318	NA	NA	2018-02-08	2018-02-08	Scaffold	International Wheat Blast Consortium	SAMN08009557
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	12.0879	38.3255	GCA_009663385.1	chromosome I:CM018955.1; chromosome II:CM018956.1; chromosome III:CM018957.1; chromosome IV:CM018958.1; chromosome VI:CM018959.1; chromosome VII:CM018960.1; chromosome VIII:CM018961.1; chromosome IX:CM018962.1; chromosome X:CM018963.1; chromosome XI:CM018964.1; chromosome XII:CM018965.1; chromosome XIII:CM018966.1; chromosome XIV:CM018967.1; chromosome XV:CM018968.1; chromosome XVI:CM018969.1; chromosome V_XV:CM018970.1; mitochondrion MT:CM018971.1	WJAV01	19	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN10221757
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	12.4532	38.1511	GCA_009663275.1	chromosome I:CM018992.1; chromosome II:CM018993.1; chromosome III:CM018994.1; chromosome IV:CM018995.1; chromosome V:CM018996.1; chromosome VI:CM018997.1; chromosome VIII:CM018998.1; chromosome IX:CM018999.1; chromosome X:CM019000.1; chromosome XI:CM019001.1; chromosome XII:CM019002.1; chromosome XIII:CM019003.1; chromosome XIV:CM019004.1; chromosome XVI:CM019005.1; chromosome VII_XV:CM019006.1; chromosome XV_VII:CM019007.1; mitochondrion MT:CM019008.1	WJAU01	19	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN10221756
Pyricularia oryzae	318829	PRJNA438312	438312	Fungi	Ascomycetes	39.555	50.8	GCA_003991345.1	NA	PYAN01	3159	NA	NA	2019-01-03	2019-01-03	Scaffold	Kasetsart University	SAMN08712647
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.85588	44.6	GCA_900016245.2	NA	CZTH02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660258
Fusarium oxysporum f. sp. melonis	61369	PRJNA306247	306247	Fungi	Ascomycetes	52.7615	47.5	GCA_001703255.1	NA	MALZ01	2225	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348769
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	51.3339	47.8	GCA_009298515.1	NA	WGQL01	4932	NA	NA	2019-10-25	2019-10-25	Scaffold	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869159
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.84639	44.6	GCA_900007505.2	NA	CZTZ02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660291
Pyricularia oryzae	318829	PRJNA391416	391416	Fungi	Ascomycetes	39.2722	51	GCA_002218355.1	NA	NKQG01	2879	NA	NA	2017-07-14	2017-07-14	Scaffold	huazhong agricultural university	SAMN07267887
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	11.6814	37.4127	GCA_009663155.1	chromosome I:CM018940.1; chromosome II:CM018941.1; chromosome III:CM018942.1; chromosome V:CM018943.1; chromosome VI:CM018944.1; chromosome VII:CM018945.1; chromosome IX:CM018946.1; chromosome X:CM018947.1; chromosome XI:CM018948.1; chromosome XII:CM018949.1; chromosome XIII:CM018950.1; chromosome XIV:CM018951.1; chromosome XVI:CM018952.1; chromosome IV_VIII:CM018953.1	WJAZ01	19	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN12333869
Saccharomyces cerevisiae	4932	PRJNA373942	373942	Fungi	Ascomycetes	12.0048	38.1771	GCA_011316215.1	chromosome I:CM022135.1; chromosome II:CM022136.1; chromosome III:CM022137.1; chromosome V:CM022138.1; chromosome VI:CM022139.1; chromosome VII:CM022140.1; chromosome VIII:CM022141.1; chromosome IX:CM022142.1; chromosome X:CM022143.1; chromosome XI:CM022144.1; chromosome XIII:CM022145.1; chromosome XIV:CM022146.1; chromosome XV:CM022147.1; chromosome XVI:CM022148.1; mitochondrion MT:CM022149.1	MWMF01	19	NA	NA	2020-03-16	2020-03-17	Chromosome	Kyung Hee University	SAMN06319126
Pyricularia oryzae	318829	PRJNA302736	302736	Fungi	Ascomycetes	38.7513	51.2	GCA_001936435.1	NA	LNTM01	7631	NA	NA	2017-01-05	2017-01-05	Contig	Centre for Cellular and Molecular Platforms	SAMN04217083
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	881.496	43.4	GCA_003709635.1	NA	QPKN01	13983	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN02744161
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	46.1064	47.7	GCA_009298635.1	NA	WGRA01	1929	NA	NA	2019-10-25	2019-10-25	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869174
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	50.0118	47.8	GCA_001703025.1	NA	MALN01	2270	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348792
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.87049	44.5	GCA_900007515.2	NA	CZUG02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660294
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.5568	51.8	GCA_000734095.1	NA	JMKE01	5680	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739886
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	11.4257	38.0113	GCA_009664425.1	chromosome I:CM019046.1; chromosome II:CM019047.1; chromosome III:CM019048.1; chromosome IV:CM019049.1; chromosome V:CM019050.1; chromosome VI:CM019051.1; chromosome IX:CM019052.1; chromosome X:CM019053.1; chromosome XI:CM019054.1; chromosome XII:CM019055.1; chromosome XIII:CM019056.1; chromosome XVI:CM019057.1; chromosome III_XVI:CM019058.1; chromosome IV_VII:CM019059.1; chromosome VIII_X:CM019060.1; chromosome VII_XV:CM019061.1; chromosome XIV_X:CM019062.1	WJBA01	25	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN12333870
Saccharomyces cerevisiae	4932	PRJNA588095	588095	Fungi	Ascomycetes	12.2104	38.3899	GCA_010356935.1	chromosome I:CM021111.1; chromosome II:CM021112.1; chromosome III:CM021113.1; chromosome IV:CM021114.1; chromosome V:CM021115.1; chromosome VI:CM021116.1; chromosome VII:CM021117.1; chromosome VIII:CM021118.1; chromosome IX:CM021119.1; chromosome X:CM021120.1; chromosome XI:CM021121.1; chromosome XII:CM021122.1; chromosome XIII:CM021123.1; chromosome XIV:CM021124.1; chromosome XV:CM021125.1; chromosome XVI:CM021126.1	JAAEAK01	17	6231	5542	2020-02-07	2020-02-10	Chromosome	Inscripta	SAMN13226781
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.5933	51.7	GCA_000734215.1	NA	JMJZ01	5947	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739934
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.86846	44.6	GCA_900008705.2	NA	CZVC02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660314
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	59.1459	49	GCA_011034735.1	NA	WEUO01	2323	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07711088
Fusarium oxysporum f. sp. cucumerinum	5508	PRJNA306247	306247	Fungi	Ascomycetes	51.983	47.2	GCA_001702575.1	NA	MABK01	1743	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348758
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	3.08103	46	GCA_900008915.2	NA	CZTU02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660278
Pyricularia oryzae B157	1348879	PRJNA209290	209290	Fungi	Ascomycetes	37.7574	51.3	GCA_000832285.1	NA	AXDJ01	5735	NA	NA	2015-02-04	2015-02-04	Contig	Centre for Cellular and Molecular Plateforms	SAMN03329169
Saccharomyces cerevisiae	4932	PRJNA588095	588095	Fungi	Ascomycetes	12.2694	38.3347	GCA_010356925.1	chromosome I:CM021127.1; chromosome II:CM021128.1; chromosome III:CM021129.1; chromosome IV:CM021130.1; chromosome V:CM021131.1; chromosome VI:CM021132.1; chromosome VII:CM021133.1; chromosome VIII:CM021134.1; chromosome IX:CM021135.1; chromosome X:CM021136.1; chromosome XI:CM021137.1; chromosome XII:CM021138.1; chromosome XIII:CM021139.1; chromosome XIV:CM021140.1; chromosome XV:CM021141.1; chromosome XVI:CM021142.1	JAAEAL01	17	6263	5576	2020-02-07	2020-02-10	Chromosome	Inscripta	SAMN13226780
Saccharomyces cerevisiae	4932	PRJNA360861	360861	Fungi	Ascomycetes	11.7774	38.3553	GCA_002271905.1	chromosome I:CM008214.1; chromosome II:CM008215.1; chromosome III:CM008216.1; chromosome IV:CM008217.1; chromosome V:CM008218.1; chromosome VI:CM008219.1; chromosome VII:CM008220.1; chromosome VIII:CM008221.1; chromosome IX:CM008222.1; chromosome X:CM008223.1; chromosome XI:CM008224.1; chromosome XIII:CM008225.1; chromosome XIV:CM008226.1; chromosome XV:CM008227.1; chromosome XVI:CM008228.1	MZZF01	23	NA	NA	2017-08-11	2017-08-28	Chromosome	University of Washington	SAMN06218131
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.0133	51.9	GCA_000734335.1	NA	JMJW01	6061	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740625
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	957.418	43.3	GCA_003709745.1	NA	QVRG01	16182	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN05603729
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	51.1249	47.2	GCA_011035245.1	NA	WEWK01	1696	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07710870
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	54.308	47.6	GCA_011033535.1	NA	WESQ01	5118	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07711014
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.83206	44.5	GCA_900007475.2	NA	CZRY02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660248
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	37.4938	51.9	GCA_000734315.1	NA	JMJM01	6575	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740637
Saccharomyces cerevisiae	4932	PRJNA360861	360861	Fungi	Ascomycetes	11.688	38.3125	GCA_002271945.1	chromosome I:CM008200.1; chromosome II:CM008201.1; chromosome III:CM008202.1; chromosome IV:CM008203.1; chromosome V:CM008204.1; chromosome VI:CM008205.1; chromosome VII:CM008206.1; chromosome VIII:CM008207.1; chromosome IX:CM008208.1; chromosome X:CM008209.1; chromosome XI:CM008210.1; chromosome XIII:CM008211.1; chromosome XV:CM008212.1; chromosome XVI:CM008213.1	MZZG01	23	NA	NA	2017-08-11	2017-08-28	Chromosome	University of Washington	SAMN06218130
Saccharomyces cerevisiae	4932	PRJNA479388	479388	Fungi	Ascomycetes	12.1119	38.0697	GCA_003591695.1	chromosome I:CM010780.1; chromosome II:CM010781.1; chromosome III:CM010782.1; chromosome IV:CM010783.1; chromosome VI:CM010784.1; chromosome VII:CM010785.1; chromosome XI:CM010786.1; chromosome XIII:CM010787.1; chromosome XIV:CM010788.1; plasmid 2 micron:CM010789.1	QQBK01	25	NA	NA	2018-09-18	2018-09-24	Chromosome	University of Adelaide	SAMN08848147
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	38.0485	51.6	GCA_000734075.1	NA	JMKB01	6787	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02739932
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	2.14261	46	GCA_900008205.2	NA	CZTQ02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660277
Fusarium oxysporum f. sp. niveum	120297	PRJNA306247	306247	Fungi	Ascomycetes	51.9743	47.4	GCA_001702745.1	NA	MALA01	2191	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348776
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	50.9031	47.2	GCA_009297605.1	NA	WGOR01	2995	NA	NA	2019-10-25	2019-12-17	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869113
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	787.51	42.5	GCA_003709805.1	NA	QVRJ01	14510	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN09690649
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.8639	51.9	GCA_000734245.1	NA	JMJP01	6159	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740633
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	11.8385	38.2493	GCA_009663235.1	chromosome I:CM019009.1; chromosome V:CM019010.1; chromosome VI:CM019011.1; chromosome X:CM019012.1; chromosome XI:CM019013.1; chromosome XII:CM019014.1; chromosome XIII:CM019015.1; chromosome XIV:CM019016.1; chromosome XVI:CM019017.1; chromosome III_XIV:CM019018.1; chromosome II_XV:CM019019.1; chromosome IV_XV:CM019020.1; chromosome VII_IX:CM019021.1; chromosome XVI_VIII:CM019022.1	WJAX01	23	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN12333867
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.7904	38.0281	GCA_003277115.1	chromosome I:CM011714.1; chromosome II:CM011715.1; chromosome III:CM011716.1; chromosome IV:CM011717.1; chromosome V:CM011718.1; chromosome VI:CM011719.1; chromosome VII:CM011720.1; chromosome VIII:CM011721.1; chromosome IX:CM011722.1; chromosome X:CM011723.1; chromosome XI:CM011724.1; chromosome XII:CM011725.1; chromosome XIII:CM011726.1; chromosome XIV:CM011727.1; chromosome XV:CM011728.1; chromosome XVI:CM011729.1	NPYJ01	60	NA	NA	2018-06-28	2018-11-28	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07436823
Pyricularia oryzae MG01	1419113	PRJNA227170	227170	Fungi	Ascomycetes	38.9991	51.1	GCA_000969745.1	NA	AYPX01	7722	NA	NA	2015-04-06	2015-04-06	Contig	Centre for Cellular and Molecular Plateforms	SAMN02397294
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	1064.01	43.6	GCA_003709695.1	NA	QVRE01	19052	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN05603745
Fusarium oxysporum f. sp. lycopersici	59765	PRJNA306247	306247	Fungi	Ascomycetes	51.5323	47.8	GCA_001703105.1	NA	MALS01	3410	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348797
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	51.2591	47.2	GCA_011035265.1	NA	WEWJ01	1523	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07710869
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	981.782	43.6	GCA_003709765.1	NA	QVRH01	16937	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN05603847
Pyricularia oryzae	318829	PRJNA302700	302700	Fungi	Ascomycetes	39.3365	51	GCA_001936075.1	NA	LNTH01	8554	NA	NA	2017-01-05	2017-01-05	Contig	Centre for Cellular and Molecular Platforms	SAMN04216992
Saccharomyces cerevisiae	4932	PRJNA493199	493199	Fungi	Ascomycetes	11.1607	37.7875	GCA_009663225.1	chromosome II:CM019023.1; chromosome IV:CM019024.1; chromosome VI:CM019025.1; chromosome VII:CM019026.1; chromosome VIII:CM019027.1; chromosome IX:CM019028.1; chromosome X:CM019029.1; chromosome XI:CM019030.1; chromosome XII:CM019031.1; chromosome XIII:CM019032.1; chromosome XIV:CM019033.1; chromosome XV:CM019034.1; chromosome III_XIV:CM019035.1; chromosome I_VII:CM019036.1; chromosome V_III:CM019037.1; chromosome XIII_XII:CM019038.1; chromosome XII_XIV_VII:CM019039.1; chromosome XVI_VII:CM019040.1	WJAW01	24	NA	NA	2019-11-14	2019-11-15	Chromosome	Sorbonne University	SAMN12333866
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.7478	38.1591	GCA_003276085.1	chromosome I:CM012357.1; chromosome II:CM012358.1; chromosome III:CM012359.1; chromosome IV:CM012360.1; chromosome V:CM012361.1; chromosome VI:CM012362.1; chromosome VII:CM012363.1; chromosome VIII:CM012364.1; chromosome IX:CM012365.1; chromosome X:CM012366.1; chromosome XI:CM012367.1; chromosome XII:CM012368.1; chromosome XIII:CM012369.1; chromosome XIV:CM012370.1; chromosome XV:CM012371.1; chromosome XVI:CM012372.1	NPXQ01	34	NA	NA	2018-06-28	2019-01-08	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07436842
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	39.1655	50.4	GCA_003013125.1	NA	PQBK01	1985	NA	NA	2018-03-21	2018-03-21	Scaffold	International Wheat Blast Consortium	SAMN08377452
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.8317	44.5	GCA_900008685.2	NA	CZRR02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660227
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	45.7971	48.1	GCA_009299025.1	NA	WGRL01	1976	NA	NA	2019-10-25	2019-10-25	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869185
Fusarium oxysporum	5507	PRJNA575312	575312	Fungi	Ascomycetes	47.7381	48	GCA_009298395.1	NA	WGQA01	2962	NA	NA	2019-10-25	2019-10-25	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN12869148
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	806.268	43.1	GCA_003709785.1	NA	QVRI01	15747	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN05181962
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	41.3441	50.2	GCA_001675595.1	NA	LXOO01	7154	NA	NA	2016-06-23	2016-06-23	Scaffold	International Wheat Blast Consortium	SAMN04942531
Saccharomyces cerevisiae	4932	PRJNA604588	604588	Fungi	Ascomycetes	11.5749	38.1036	GCA_011799815.1	chromosome II:CM022359.1; chromosome III:CM022360.1; chromosome V:CM022361.1; chromosome VI:CM022362.1; chromosome VII:CM022363.1; chromosome VIII:CM022364.1; chromosome X:CM022365.1; chromosome XII:CM022366.1; chromosome XIII:CM022367.1	JAAGNM01	29	NA	NA	2020-03-31	2020-04-01	Chromosome	Institut de Biologie Integrative et des Systemes, Universite Laval	SAMN13976147
Saccharomyces cerevisiae YJSH1	1087981	PRJNA72403	72403	Fungi	Ascomycetes	11.5505	38.3211	GCA_000275665.1	chromosome I:CM001539.1; chromosome II:CM001540.1; chromosome III:CM001541.1; chromosome IV:CM001542.1; chromosome V:CM001543.1; chromosome VI:CM001544.1; chromosome VII:CM001545.1; chromosome VIII:CM001546.1; chromosome IX:CM001547.1; chromosome X:CM001548.1; chromosome XI:CM001549.1; chromosome XII:CM001550.1; chromosome XIII:CM001551.1; chromosome XIV:CM001552.1; chromosome XV:CM001553.1; chromosome XVI:CM001554.1	AGAW01	17	NA	NA	2012-07-02	2014-08-04	Chromosome	Zhejiang University	SAMN01057573
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.983	51.6	GCA_000734345.1	NA	JMJU01	7027	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740627
Homo sapiens	9606	PRJNA481779	481779	Animals	Mammals	1032.95	43.6	GCA_003709735.1	NA	QVRF01	18969	NA	NA	2018-11-02	2018-11-05	Contig	University of Washington	SAMN06885952
Fusarium oxysporum f. sp. niveum	120297	PRJNA306247	306247	Fungi	Ascomycetes	55.1275	47.3	GCA_001702805.1	NA	MALE01	3604	NA	NA	2016-08-10	2016-08-10	Scaffold	University of Amsterdam	SAMN04348782
Fusarium oxysporum f. sp. vasinfectum 25433	1089449	PRJNA73537	73537	Fungi	Ascomycetes	52.9144	47.7	GCA_000260175.2	NA	AGNC01	985	NA	NA	2012-04-27	2014-08-11	Scaffold	Broad Institute	SAMN02981377
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	3.8581	45.8	GCA_900009045.2	NA	CZUZ02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660312
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.7163	51.6	GCA_000734235.1	NA	JMJS01	7622	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02740630
Saccharomyces cerevisiae	4932	PRJNA279877	279877	Fungi	Ascomycetes	12.3772	38.2664	GCA_001634645.1	chromosome I:CM004294.1; chromosome II:CM004295.1; chromosome III:CM004296.1; chromosome IV:CM004297.1; chromosome V:CM004298.1; chromosome VI:CM004299.1; chromosome VII:CM004300.1; chromosome VIII:CM004301.1; chromosome IX:CM004302.1; chromosome X:CM004303.1; chromosome XI:CM004304.1; chromosome XII:CM004305.1; chromosome XIII:CM004306.1; chromosome XIV:CM004307.1; chromosome XV:CM004308.1; chromosome XVI:CM004309.1; plasmid p2uM:CM004310.1; mitochondrion MT:CM004311.1	LBMA01	32	6969	6319	2016-04-28	2016-05-31	Chromosome	University of Wisconsin - Madison	SAMN03451116
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.8176	38.0184	GCA_003277255.1	chromosome I:CM011477.1; chromosome II:CM011478.1; chromosome III:CM011479.1; chromosome IV:CM011480.1; chromosome V:CM011481.1; chromosome VI:CM011482.1; chromosome VII:CM011483.1; chromosome VIII:CM011484.1; chromosome IX:CM011485.1; chromosome X:CM011486.1; chromosome XI:CM011487.1; chromosome XII:CM011488.1; chromosome XIII:CM011489.1; chromosome XIV:CM011490.1; chromosome XV:CM011491.1; chromosome XVI:CM011492.1	NPYO01	58	NA	NA	2018-06-28	2018-11-28	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07436818
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.4469	51.6	GCA_000734515.1	NA	JMQW01	7603	NA	NA	2014-07-28	2014-07-28	Contig	Seoul National University	SAMN02742167
Homo sapiens	9606	PRJEB6763	374443	Animals	Mammals	4.81214	44.6	GCA_900008115.2	NA	CZRX02	1	NA	NA	2017-02-12	2017-02-12	Scaffold	STANFORD UNIVERSITY	SAMEA2660261
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	52.33	47.2	GCA_011035385.1	NA	WEWH01	2050	NA	NA	2020-02-27	2020-02-27	Scaffold	Cook Lab - University of California at Davis	SAMN07710867
